id,pinned,date,message,type,web_url,web_site,web_title,web_description
142,TRUE,1633901203,"<a href=""https://datastitches.substack.com/p/issue-037"" target=""_blank"" rel=""nofollow"">Data Stitches Issue #037</a>",webpage,https://datastitches.substack.com/p/issue-037,Substack,Issue #037,Pandora Papers 相关媒体报道 #investigation 1. ICIJ 官网，数据 ，发现 2. 卫报 3. BBC 4. Le Monde 5. 华盛顿邮报 6. Inkyfata 7. Süddeutsche Zeitung 10月4号 Facebook 前女雇员 Frances Haugen 在接受美国60 Minutes采访中揭露 Facebook 使用放大仇恨言论的算法谋利。为了提高用户参与度，Facebook发现最好的方式便是向用户灌输恐惧和憎恨。之前也是她向《华尔街日报》的系列调查报道
141,FALSE,1633893509,"<a href=""https://exploretrees.sg/3d"" target=""_blank"" rel=""nofollow"">ExploreThrees.SG 3D</a> - 开发者<a href=""https://twitter.com/cheeaun"" target=""_blank"" rel=""nofollow"">Chee Aun</a>用Mapbox制作了类似 iOS 最新地图的新加坡城市树木数据的3D地图，<a href=""https://github.com/cheeaun/exploretrees-sg"" target=""_blank"" rel=""nofollow"">source code</a>",photo,NA,NA,NA,NA
140,FALSE,1633892407,,photo,NA,NA,NA,NA
139,FALSE,1633892407,,photo,NA,NA,NA,NA
138,FALSE,1633892407,,photo,NA,NA,NA,NA
137,FALSE,1633892407,"<a href=""https://www.bloomberg.com/graphics/2021-census-suburbs/"" target=""_blank"" rel=""nofollow"">美国郊区在 2020 年转向民主党</a>  - 美国郊区在过去十年里逐渐变蓝、种族更加多样化以及人口增长，这些都会决定民主党是否能保持其微弱的众议院席位 #ddj",photo,NA,NA,NA,NA
136,FALSE,1633890958,,photo,NA,NA,NA,NA
135,FALSE,1633890958,"<a href=""https://bouclard-editions.fr/produit/carte-hydrographique-de-la-litterature/"" target=""_blank"" rel=""nofollow"">文学水文地图</a> - 用页数展示的书籍深度 #map",photo,NA,NA,NA,NA
134,FALSE,1633780875,"<a href=""https://observablehq.com/@observablehq/analyzing-time-series-data"" target=""_blank"" rel=""nofollow"">Observable团队推出的时间序列数据分析指南</a>，使用能源数据集，通过提出不同问题呈现不同发现和可视化 #tutorial #observable",photo,NA,NA,NA,NA
133,FALSE,1633780366,"<a href=""https://supplystudies.com/manifest/"" target=""_blank"" rel=""nofollow"">Manifest</a> - by <a href=""https://twitter.com/hockendougal"" target=""_blank"" rel=""nofollow"">Matthew Hockenberry</a> 一个记录全球供应链、生产线和贸易网络的数据调查工具 #tools #investigation #dataset",document,NA,NA,NA,NA
